,price
0,200000.0
1,60000.0
2,99000.0
3,65000.0
4,100000.0
5,90000.0
6,90000.0
7,105000.0
8,125000.0
9,100000.0
10,140000.0
11,230000.0
12,85000.0
13,120000.0
14,120000.0
15,140000.0
16,145000.0
17,130000.0
18,210000.0
19,110000.0
20,90000.0
22,100000.0
23,170000.0
24,100000.0
25,170000.0
26,85000.0
27,145000.0
28,70000.0
29,150000.0
30,90000.0
31,150000.0
32,173000.0
33,200000.0
34,200000.0
35,75000.0
36,129000.0
37,40000.0
39,320000.0
40,109999.0
41,75000.0
42,250000.0
43,130000.0
44,70000.0
45,220000.0
46,120000.0
47,70000.0
48,130000.0
49,119000.0
50,50000.0
51,350000.0
52,150000.0
53,140000.0
54,75000.0
55,200000.0
56,85000.0
57,90000.0
58,130000.0
59,90000.0
60,70000.0
61,75000.0
62,180000.0
63,30000.0
64,150000.0
65,220000.0
66,140000.0
67,200000.0
68,175000.0
69,120000.0
70,110000.0
71,100000.0
72,105000.0
73,140000.0
74,90000.0
75,130000.0
76,85000.0
77,40000.0
78,80000.0
79,150000.0
80,110000.0
81,180000.0
82,200000.0
83,150000.0
84,200000.0
85,220000.0
86,170000.0
87,100000.0
88,85000.0
89,80000.0
90,140000.0
91,78000.0
92,140000.0
93,80000.0
94,230000.0
95,150000.0
96,45000.0
97,40000.0
98,80000.0
99,60000.0
100,185000.0
101,150000.0
102,60000.0
103,120000.0
104,150000.0
105,55000.0
106,212000.0
107,40000.0
108,140000.0
109,149000.0
110,199999.0
111,80000.0
112,110000.0
113,110000.0
114,70000.0
115,130000.0
116,110000.0
117,45000.0
118,75000.0
119,120000.0
120,165000.0
121,75000.0
122,120000.0
123,80000.0
124,200000.0
125,125000.0
126,169000.0
127,80000.0
128,95000.0
129,115000.0
130,125000.0
131,95000.0
132,220000.0
133,140000.0
134,170000.0
135,45000.0
136,100000.0
137,130000.0
138,120000.0
139,135000.0
140,95000.0
141,100000.0
142,65000.0
143,85000.0
144,120000.0
145,95000.0
146,115000.0
147,30000.0
148,205000.0
149,85000.0
150,45000.0
151,25000.0
152,180000.0
153,55000.0
154,87500.0
155,158000.0
156,45000.0
157,60000.0
158,100000.0
159,40000.0
160,150000.0
161,180000.0
162,40000.0
163,90000.0
164,150000.0
165,40000.0
166,50000.0
167,80000.0
168,67000.0
169,100000.0
171,60000.0
172,160000.0
173,40000.0
174,100000.0
175,150000.0
176,35000.0
177,40000.0
178,70000.0
179,130000.0
180,47000.0
181,170000.0
182,165000.0
183,155000.0
184,50000.0
185,70000.0
186,130000.0
187,125000.0
188,150000.0
189,65000.0
190,45000.0
191,65000.0
192,45000.0
193,68000.0
194,130000.0
195,180000.0
196,75000.0
197,114000.0
198,50000.0
199,60000.0
200,120000.0
201,90000.0
202,70000.0
203,150000.0
204,50000.0
205,99999.0
206,90000.0
207,96000.0
208,65000.0
209,130000.0
210,100000.0
211,85000.0
212,75000.0
213,55000.0
214,35000.0
215,80000.0
216,80000.0
217,120000.0
218,100000.0
219,150000.0
220,158000.0
221,50000.0
222,60000.0
223,135000.0
224,150000.0
225,145000.0
226,50000.0
227,77000.0
228,75000.0
229,145000.0
230,135000.0
231,89999.0
232,85000.0
233,60000.0
234,88888.0
235,55000.0
236,135000.0
237,55000.0
238,55000.0
239,46500.0
240,100000.0
241,40000.0
242,40000.0
243,90000.0
244,55000.0
245,70000.0
246,55000.0
247,100000.0
248,65000.0
249,50000.0
250,70000.0
251,55000.0
252,60000.0
253,80000.0
254,110000.0
255,145000.0
256,110000.0
257,75000.0
258,90000.0
259,135000.0
260,60000.0
261,67000.0
262,75000.0
263,140000.0
264,80000.0
265,85000.0
266,55000.0
267,150000.0
268,170000.0
269,45000.0
270,105000.0
271,65000.0
272,45000.0
273,95000.0
274,170000.0
275,175000.0
276,80000.0
277,120000.0
278,85000.0
279,110000.0
280,75000.0
281,60000.0
282,55000.0
283,62000.0
284,110000.0
285,110000.0
286,130000.0
287,85000.0
288,105000.0
289,100000.0
290,60000.0
291,119000.0
292,95000.0
293,55000.0
294,97000.0
295,135000.0
296,100000.0
297,45000.0
298,55000.0
299,60000.0
300,85000.0
301,85000.0
302,90000.0
303,2000000.0
304,699000.0
305,460000.0
306,570000.0
307,460000.0
308,900000.0
309,530000.0
310,577000.0
311,570000.0
313,519000.0
314,550000.0
315,630000.0
316,480000.0
317,625000.0
318,570000.0
319,670000.0
320,790000.0
321,620000.0
322,510000.0
323,650000.0
324,519000.0
325,620000.0
326,650000.0
327,280000.0
328,290000.0
329,350000.0
330,250000.0
331,335000.0
332,1885400.0
333,1885400.0
334,399000.0
335,2350000.0
336,1885400.0
337,1088000.0
338,913000.0
339,2016000.0
340,679200.0
341,1147900.0
342,1946000.0
343,425000.0
344,1946000.0
345,1254090.0
346,595000.0
347,1946000.0
348,520000.0
350,80000.0
352,699000.0
353,1639000.0
354,420000.0
355,2016000.0
356,1525000.0
357,2016000.0
358,330000.0
359,1100000.0
360,645000.0
361,1299000.0
362,2016000.0
363,300000.0
364,1946000.0
365,799000.0
366,670000.0
367,1350000.0
368,1885400.0
369,1885400.0
371,580000.0
372,720000.0
373,1885400.0
374,230000.0
375,699000.0
376,1885400.0
377,659000.0
378,1885400.0
379,998000.0
380,950000.0
381,1000000.0
382,1885400.0
383,870000.0
384,830000.0
385,1885400.0
386,810000.0
388,850000.0
389,898000.0
390,1885400.0
391,710000.0
392,650000.0
393,2016000.0
394,460000.0
395,950000.0
396,1762200.0
397,2016000.0
398,370000.0
399,1946000.0
400,500000.0
401,1220000.0
402,650000.0
403,1946000.0
404,450000.0
405,560000.0
407,300000.0
408,1885400.0
409,800000.0
410,800000.0
411,400000.0
412,530000.0
414,1885400.0
415,900000.0
416,679000.0
417,1650000.0
418,815000.0
419,1978147.0
420,719000.0
421,1895400.0
422,680000.0
423,1250000.0
424,2009000.0
425,250000.0
426,1000000.0
428,739000.0
429,2009000.0
430,685000.0
431,480000.0
432,1885400.0
433,460000.0
434,520000.0
435,2009000.0
436,350000.0
437,340000.0
438,720000.0
439,1700000.0
440,2009000.0
441,1885400.0
442,400000.0
443,680000.0
444,250000.0
445,470000.0
446,2026000.0
447,2026000.0
448,490000.0
449,411000.0
450,817000.0
451,1945400.0
452,330000.0
453,415000.0
454,350000.0
456,459000.0
457,550000.0
458,1885400.0
459,1945400.0
460,470000.0
461,610000.0
462,560000.0
464,435000.0
465,1945400.0
466,520000.0
467,850000.0
468,1966000.0
469,465000.0
470,400000.0
471,155000.0
472,540000.0
473,1895400.0
474,210000.0
475,470000.0
476,1885400.0
477,1885400.0
478,170000.0
479,680000.0
480,600000.0
481,520000.0
482,1885400.0
483,2009000.0
484,503000.0
485,510000.0
486,600000.0
487,440000.0
488,1885400.0
489,470000.0
490,1885400.0
491,460000.0
492,1885400.0
493,402000.0
494,850000.0
495,1885400.0
496,580000.0
497,520000.0
498,2009000.0
499,299999.0
500,463000.0
501,520000.0
502,179000.0
503,1885400.0
504,230000.0
505,1895400.0
506,220000.0
507,240000.0
508,565000.0
509,1966000.0
510,1895400.0
511,580000.0
512,360000.0
513,1885000.0
514,2009000.0
515,980000.0
516,330000.0
517,600000.0
518,1895400.0
519,1885400.0
520,340000.0
521,1230000.0
522,470000.0
523,490000.0
524,2009000.0
525,415000.0
526,500000.0
527,1885400.0
528,314000.0
529,1885400.0
530,600000.0
531,1080000.0
532,1120000.0
533,2009000.0
534,730000.0
535,1300000.0
536,1945400.0
537,500000.0
538,450000.0
539,1885400.0
540,968000.0
541,2009000.0
542,400000.0
543,380000.0
544,430000.0
545,1885400.0
546,500000.0
547,1966000.0
548,550000.0
549,850000.0
550,1885400.0
551,350000.0
552,500000.0
553,1885400.0
554,750000.0
555,2009000.0
556,1150000.0
557,315000.0
558,750000.0
559,420000.0
560,1885400.0
561,930000.0
563,1080000.0
564,2009000.0
565,370000.0
566,849000.0
567,115000.0
568,2009000.0
569,265000.0
570,530000.0
571,2009000.0
572,390000.0
574,495000.0
575,500000.0
576,150000.0
577,500000.0
578,2009000.0
579,584999.0
580,470000.0
582,1885400.0
583,460000.0
584,900000.0
585,620000.0
586,500000.0
587,1885400.0
588,375000.0
590,450000.0
591,180000.0
592,2009000.0
593,750000.0
594,2009000.0
595,420000.0
596,200000.0
597,2009000.0
598,560000.0
599,480000.0
600,740000.0
601,430000.0
602,1885400.0
603,220000.0
604,2009000.0
605,730000.0
606,680000.0
607,540000.0
608,2009000.0
609,2009000.0
610,600000.0
611,530000.0
612,350000.0
613,630000.0
615,290000.0
617,600000.0
618,380000.0
620,1895400.0
621,1895400.0
622,1966000.0
624,1885400.0
625,1885400.0
626,1885400.0
627,2009000.0
629,1885400.0
632,1885400.0
635,1885400.0
636,2009000.0
637,1885400.0
638,1900000.0
639,2050000.0
640,1690000.0
641,227000.0
642,1450000.0
643,975000.0
644,1899000.0
645,777000.0
646,929000.0
647,2199000.0
648,1377900.0
649,1487900.0
650,669000.0
651,535000.0
652,655000.0
653,1415000.0
655,1549000.0
656,399000.0
657,532000.0
658,380000.0
659,1099000.0
660,2910000.0
661,437000.0
662,430000.0
663,255000.0
664,630000.0
665,1199000.0
666,530000.0
667,1400000.0
668,939000.0
669,1719000.0
670,780000.0
671,395000.0
672,400000.0
673,540000.0
674,1020000.0
675,660000.0
676,2600000.0
677,380000.0
678,400000.0
680,650000.0
681,325000.0
682,340000.0
683,275000.0
684,620000.0
685,275000.0
686,390000.0
687,1150000.0
688,750000.0
689,557000.0
690,155000.0
691,695000.0
692,1419900.0
693,2649000.0
694,1998000.0
696,650000.0
697,1499000.0
698,354000.0
699,400000.0
700,735000.0
701,2030000.0
702,280000.0
703,1300000.0
704,1049000.0
705,480000.0
706,379000.0
707,1600000.0
708,580000.0
709,1165000.0
710,820000.0
711,540000.0
712,1700000.0
713,1850000.0
714,689000.0
715,270000.0
716,500000.0
717,450000.0
718,1850000.0
719,700000.0
720,2550000.0
721,660000.0
722,880000.0
723,515000.0
724,560000.0
725,780000.0
726,130000.0
727,770000.0
728,1769000.0
729,240000.0
730,485000.0
732,219000.0
733,700000.0
734,1790000.0
735,560000.0
736,1868997.0
737,1459000.0
738,689000.0
739,300000.0
740,1439000.0
741,950000.0
742,1717000.0
743,1010000.0
744,850000.0
745,160000.0
746,850000.0
747,734000.0
748,470000.0
749,1450000.0
750,580000.0
751,710000.0
752,1200000.0
753,500000.0
754,850000.0
755,1899700.0
756,739000.0
757,547000.0
758,1050000.0
759,920000.0
760,549000.0
761,349000.0
762,455000.0
763,530000.0
764,850000.0
765,1150000.0
766,485000.0
767,835000.0
768,700000.0
769,299000.0
770,362000.0
771,365000.0
772,730000.0
773,1950000.0
774,150000.0
775,260000.0
776,125000.0
777,550000.0
778,390000.0
779,970000.0
780,315000.0
781,2000000.0
782,450000.0
783,870000.0
784,365000.0
785,570000.0
786,470000.0
787,905000.0
788,260000.0
789,710000.0
790,280000.0
791,920000.0
792,900000.0
793,490000.0
794,355000.0
795,170000.0
796,710000.0
797,1685000.0
798,730000.0
799,420000.0
800,920000.0
801,450000.0
802,1830000.0
803,150000.0
804,990000.0
805,2400000.0
806,570000.0
807,1950000.0
808,880000.0
809,1190000.0
810,1579000.0
811,575000.0
812,430000.0
813,699999.0
814,790000.0
815,220000.0
816,650000.0
817,105000.0
818,690000.0
819,309000.0
820,219000.0
821,1660000.0
822,1610000.0
823,1750000.0
824,200000.0
825,910000.0
826,350000.0
827,620000.0
828,490000.0
829,1700000.0
830,870000.0
831,990000.0
832,550000.0
833,520000.0
834,380000.0
835,300000.0
836,820000.0
837,690000.0
838,1950000.0
839,2000000.0
840,220000.0
841,610000.0
842,660000.0
843,640000.0
844,840000.0
845,450000.0
846,550000.0
847,150000.0
848,395000.0
849,875000.0
850,710000.0
851,435000.0
852,599000.0
853,550000.0
854,240000.0
855,430000.0
856,250000.0
857,850000.0
858,1300000.0
859,750000.0
860,435000.0
861,870000.0
862,320000.0
863,790000.0
864,740000.0
865,309000.0
866,595000.0
867,330000.0
868,870000.0
869,300000.0
870,850000.0
871,540000.0
872,850000.0
873,619000.0
874,120000.0
875,450000.0
876,280000.0
877,380000.0
878,240000.0
879,995000.0
880,950000.0
881,410000.0
882,1100000.0
883,300000.0
884,850000.0
885,450000.0
886,1050000.0
887,230000.0
888,435000.0
889,600000.0
890,287000.0
891,450000.0
892,330000.0
893,360000.0
894,1890000.0
895,580000.0
896,1165000.0
897,624000.0
898,575000.0
899,630000.0
900,310000.0
901,1300000.0
902,420000.0
903,190000.0
904,935000.0
905,450000.0
906,930000.0
907,289000.0
908,260000.0
909,550000.0
910,270000.0
911,250000.0
912,924999.0
913,380000.0
914,1300000.0
915,554000.0
916,2180000.0
917,800000.0
918,700000.0
919,600000.0
920,250000.0
921,2149000.0
922,520000.0
923,950000.0
924,498000.0
925,413000.0
926,630000.0
927,400000.0
928,500000.0
929,450000.0
930,800000.0
931,375000.0
932,690000.0
933,290000.0
934,395000.0
935,170000.0
936,1400000.0
937,1650000.0
938,2490000.0
939,700000.0
940,156000.0
941,1550000.0
942,630000.0
943,185000.0
944,330000.0
945,615000.0
946,860000.0
947,350000.0
948,399000.0
949,950000.0
950,300000.0
951,590000.0
952,650000.0
953,880000.0
954,190000.0
955,185000.0
956,550000.0
957,560000.0
958,357000.0
959,329000.0
960,350000.0
961,720000.0
962,270000.0
963,600000.0
964,280000.0
965,310000.0
966,150000.0
967,380000.0
968,480000.0
969,270000.0
970,570000.0
971,399000.0
972,670000.0
973,345000.0
974,200000.0
975,380000.0
976,440000.0
977,480000.0
978,750000.0
979,300000.0
980,165000.0
981,250000.0
982,450000.0
983,650000.0
984,880000.0
985,500000.0
986,260000.0
987,510000.0
988,420000.0
989,260000.0
990,295000.0
991,520000.0
992,465000.0
993,365000.0
994,275000.0
995,550000.0
996,320000.0
997,145000.0
998,440000.0
999,350000.0
1000,495000.0
1001,1545000.0
1002,2490000.0
1003,270000.0
1004,700000.0
1005,575000.0
1006,1349900.0
1007,180000.0
1008,550000.0
1009,655000.0
1010,570000.0
1011,560000.0
1012,1095000.0
1013,246000.0
1014,890000.0
1015,660000.0
1016,830000.0
1017,840000.0
1018,515000.0
1019,380000.0
1020,1700000.0
1021,600000.0
1022,1500000.0
1023,380000.0
1024,350000.0
1025,990000.0
1026,130000.0
1027,325000.0
1028,710000.0
1029,105000.0
1030,320000.0
1031,195000.0
1032,850000.0
1033,330000.0
1034,900000.0
1035,200000.0
1036,250000.0
1037,260000.0
1038,760000.0
1039,690000.0
1040,220000.0
1041,700000.0
1042,250000.0
1043,340000.0
1044,785000.0
1045,1050000.0
1046,560000.0
1047,375000.0
1048,130000.0
1049,470000.0
1050,200000.0
1051,700000.0
1052,135000.0
