iter	MAPE	RMSE
0	2.258797472	2035512.894
1	2.181919066	1971055.707
2	2.105352627	1908556.592
3	2.036971436	1849062.265
4	1.968472457	1793377.051
5	1.902136871	1740092.568
6	1.839657425	1688248.916
7	1.781099698	1638632.035
8	1.724466552	1592105.327
9	1.664821989	1547829.849
10	1.61163374	1505809.52
11	1.559211519	1465905.802
12	1.510163808	1429371.835
13	1.461563261	1394592.464
14	1.41230694	1360780.045
15	1.371747755	1328478.666
16	1.330932155	1298222.504
17	1.298184172	1268709.783
18	1.257823354	1239703.72
19	1.223626997	1211957.709
20	1.191632455	1186910.878
21	1.155438751	1163252.449
22	1.121481183	1140720.734
23	1.091885422	1117807.059
24	1.060156722	1096807.718
25	1.036536537	1077626.405
26	1.008812889	1059787.616
27	0.9778855804	1042647.774
28	0.9507458356	1026298.737
29	0.9310291701	1010888.49
30	0.9070599474	996396.4932
31	0.8852640204	982210.0822
32	0.8673231979	969414.6861
33	0.8451321829	957266.4523
34	0.8280962374	945389.7614
35	0.8073898444	934015.4898
36	0.7861111769	923498.6978
37	0.7698581279	913104.5752
38	0.7512105017	903793.7874
39	0.7330190457	895140.2021
40	0.7205483086	886067.4393
41	0.7057068884	877632.2767
42	0.6914011019	870638.6314
43	0.6746762521	862365.6413
44	0.6588522118	854958.1182
45	0.64130558	848416.8999
46	0.6306166867	840887.0578
47	0.6159015905	834432.2081
48	0.6022440363	828389.5271
49	0.5897491613	823599.8861
50	0.576323382	817618.7695
51	0.5653519584	812441.156
52	0.5587484515	806839.0461
53	0.5459940483	802455.1049
54	0.5394862478	797541.2092
55	0.5294753444	793748.4641
56	0.5177266607	788836.986
57	0.50671423	784829.4343
58	0.500148614	779963.2163
59	0.4922222326	776396.3989
60	0.4862207738	772400.186
61	0.48024439	768371.3678
62	0.4734543458	765194.4641
63	0.4678400414	762680.6529
64	0.4622489041	759409.5635
65	0.4561964576	756142.2823
66	0.4508278203	753668.836
67	0.4444057282	751424.2121
68	0.439649528	748774.0271
69	0.4340958243	745169.7223
70	0.4291670574	742216.5316
71	0.4255041696	739977.6914
72	0.4211874007	737978.4902
73	0.4168530719	736661.8408
74	0.4142944317	734832.2421
75	0.4090363524	732980.5632
76	0.406476386	731085.6214
77	0.4056549779	730216.9804
78	0.4021651614	728645.6051
79	0.3972586127	726541.8082
80	0.3916802426	724777.6853
81	0.3875663826	722754.1268
82	0.3857449655	719099.6892
83	0.3836440756	718290.025
84	0.3809186689	716611.8077
85	0.3789379257	715110.6547
86	0.3742372106	713173.4979
87	0.371029459	712064.0948
88	0.3659633661	710629.0034
89	0.362558394	709153.5368
90	0.3586813054	707747.0839
91	0.3564552314	706288.6358
92	0.3551132187	703759.1877
93	0.3539540004	702976.8465
94	0.3502587895	701268.6023
95	0.3485936135	700352.0405
96	0.3459558775	698651.2039
97	0.3451425131	696128.4558
98	0.3436096253	693951.1865
99	0.3414210139	692828.1603
100	0.3404123739	691807.1754
101	0.3398977686	691055.5932
102	0.3389051689	687897.1004
103	0.3370091229	686658.9138
104	0.3351008852	685487.5792
105	0.3319892716	684141.7602
106	0.3299820986	682782.4997
107	0.329458364	681402.1115
108	0.3291907948	679690.2273
109	0.3264183197	678587.0509
110	0.3255535069	676925.176
111	0.3225384471	675906.0017
112	0.3205249424	675073.5909
113	0.3190466626	673987.709
114	0.3182927465	672322.1892
115	0.318069895	671844.4321
116	0.315762875	669674.0511
117	0.3150104585	667262.4868
118	0.3147523887	666976.9482
119	0.3126518156	665255.3898
120	0.3122988338	664568.0457
121	0.3102940597	663679.116
122	0.309121826	662795.2394
123	0.307375765	662324.3477
124	0.3069492501	662033.9633
125	0.3065934211	660570.6828
126	0.3047431465	658072.5588
127	0.3038299196	657552.1261
128	0.3030017412	656748.7649
129	0.3010597296	656058.126
130	0.3010895933	655990.3084
131	0.3007543499	655703.5785
132	0.3002312466	655520.6763
133	0.2999261053	653733.449
134	0.2986646244	652819.375
135	0.2973577761	651615.7254
136	0.2969212901	649252.4259
137	0.2954464782	646927.7773
138	0.2951160792	646697.0613
139	0.2950358875	645665.5655
140	0.2948685262	644727.2484
141	0.2945809517	643602.7836
142	0.2946674946	643543.7117
143	0.2945706371	642732.8964
144	0.2941555997	640378.219
145	0.2941829604	640219.6926
146	0.2939977752	639742.2979
147	0.2933723723	639205.3058
148	0.2925677073	638525.5397
149	0.2921230049	637774.9558
150	0.2900590393	636523.6838
151	0.2899255694	636416.1317
152	0.2898898748	636242.7337
153	0.2884023763	635037.408
154	0.2884220785	634904.7145
155	0.2881065869	634780.2287
156	0.2878004354	632881.7963
157	0.2878724857	632547.6067
158	0.2872748338	632031.4058
159	0.2871283469	631666.6964
160	0.2869244289	630200.36
161	0.2853184412	629184.6761
162	0.2841055556	628708.0996
163	0.2841196611	626940.7286
164	0.2841200941	626826.2222
165	0.2838670524	625616.8293
166	0.2838880525	625578.506
167	0.2839878582	624453.6128
168	0.2823123659	623875.6138
169	0.281047966	622884.7038
170	0.2809811596	622851.2995
171	0.2798928878	622239.6968
172	0.2799105242	622053.2937
173	0.2799100307	621766.2908
174	0.2797266948	621661.5343
175	0.2796807899	621198.3076
176	0.2788085941	620824.8387
177	0.2780450367	619927.7125
178	0.2780432653	619818.2623
179	0.2762081476	617457.5005
180	0.2758308721	617149.2582
181	0.2758364851	617029.9719
182	0.2753765669	616582.516
183	0.2746625373	615929.0183
184	0.2740215563	615211.6166
185	0.2732913262	615024.7815
186	0.2729895394	613349.145
187	0.2725027218	611968.2924
188	0.2722299579	611070.9655
189	0.2721505137	610201.2424
190	0.2714971773	609915.7162
191	0.270483177	609202.9152
192	0.2690073338	609122.3347
193	0.2690233802	608811.9801
194	0.2689506811	608696.7988
195	0.2687470931	608291.5895
196	0.26868331	607838.4751
197	0.2684955792	606590.5792
198	0.2685121206	606285.0617
199	0.2679525549	605556.7791
200	0.2672029432	603614.1396
201	0.2670609471	602362.3542
202	0.2669871253	602247.6843
203	0.2669826661	602145.2514
204	0.2661710104	601552.2926
205	0.2659764289	600605.9838
206	0.2654122046	600189.153
207	0.265111838	599956.0367
208	0.2648973231	599744.6147
209	0.2646591708	598685.893
210	0.2646916268	598568.0841
211	0.2647135855	598413.0894
212	0.2635781316	597715.3769
213	0.2629155199	596919.2132
214	0.2628823343	596517.9985
215	0.2627336944	595233.7442
216	0.262720534	595124.5041
217	0.2627143688	594471.2016
218	0.2626779469	594234.7779
219	0.2621072753	592881.4567
220	0.2618596889	592786.3824
221	0.2609085135	591906.9127
222	0.2607415962	591716.0898
223	0.2606578371	591183.1564
224	0.2601517322	590370.6064
225	0.2596098888	590288.6879
226	0.2591577782	589731.3745
227	0.2588256867	589379.7931
228	0.2588118679	589103.5038
229	0.2586667339	587560.2922
230	0.2583365806	587429.6031
231	0.2579677106	587164.6722
232	0.2575467547	586603.6994
233	0.257518811	586369.5013
234	0.257464582	586274.194
235	0.2572543649	585276.875
236	0.2572392579	584988.9425
237	0.2571045942	582966.0717
238	0.2571669041	582665.5184
239	0.2569529721	582490.3996
240	0.25687636	582437.6133
241	0.2565367802	581328.2065
242	0.25646497	580526.1483
243	0.2563119201	579916.1654
244	0.2564039307	579348.1184
245	0.2563312115	578433.3946
246	0.2561378528	577946.8836
247	0.2558358214	576687.9522
248	0.2558505441	576600.2596
249	0.2555774599	576210.2581
250	0.2552335261	575971.4202
251	0.254824986	575837.989
252	0.2543248131	574958.9354
253	0.2539608862	574103.3853
254	0.2538670328	574037.9565
255	0.2539674621	573321.4248
256	0.2538496787	572588.7843
257	0.2534356719	572056.8536
258	0.253144976	571929.8027
259	0.252995157	571760.2576
260	0.2527552014	569853.0871
261	0.25250268	569329.3854
262	0.2523967965	568850.6605
263	0.2523032839	568193.2588
264	0.2521894673	566527.2026
265	0.2519825092	565493.1016
266	0.2519882228	565475.929
267	0.2519865705	565193.8129
268	0.2516539716	564851.8165
269	0.2514604362	564106.6742
270	0.2514979571	563193.1069
271	0.2509394169	562736.3084
272	0.2509200163	562655.0124
273	0.2510361978	562319.4799
274	0.2506972691	561497.2757
275	0.2506101622	560657.9198
276	0.2506426357	560019.7064
277	0.2496472652	559535.7749
278	0.2497531911	558836.479
279	0.2495864071	557241.8274
280	0.2490878425	556104.7541
281	0.2488341837	555915.9311
282	0.2487728844	554508.882
283	0.2487189932	552863.6144
284	0.2481701979	551763.2145
285	0.2474918689	551671.9452
286	0.2474465743	551561.897
