iter	Passed	Remaining
0	348	1744485
1	527	1317329
2	812	1352528
3	1067	1333344
4	1360	1358694
5	1573	1309863
6	1730	1234676
7	1884	1175670
8	2067	1146652
9	2236	1116068
10	2409	1092884
11	2588	1076141
12	2746	1053783
13	2923	1041263
14	3101	1030689
15	3251	1012813
16	3422	1003315
17	3610	999429
18	3776	989939
19	3906	972725
20	4087	969158
21	4250	961823
22	4409	954114
23	4563	946062
24	4718	939055
25	4884	934406
26	5064	932818
27	5234	929522
28	5398	925325
29	5561	921288
30	5689	911976
31	5849	908199
32	6027	907226
33	6203	906012
34	6370	903722
35	6527	900077
36	6705	899399
37	6875	897828
38	7054	897334
39	7232	896780
40	7408	896112
41	7579	894721
42	7731	891234
43	7913	891308
44	8090	890863
45	8271	890770
46	8450	890559
47	8614	888738
48	8770	886150
49	9021	893129
50	9166	889490
51	9373	891889
52	9564	892705
53	9878	904841
54	10061	904607
55	10262	906010
56	10454	906603
57	10657	908079
58	10863	909759
59	11092	913320
60	11308	915631
61	11437	910945
62	11623	910893
63	11788	909181
64	11939	906479
65	12093	904085
66	12309	906345
67	12478	905087
68	12664	905059
69	12841	904381
70	13003	902744
71	13215	904494
72	13429	906401
73	13610	906019
74	13801	906293
75	13992	906534
76	14152	904821
77	14354	905833
78	14528	904998
79	14718	905208
80	14853	902020
81	15023	901049
82	15154	897776
83	15335	897475
84	15543	898771
85	15694	896771
86	15863	895805
87	16022	894367
88	16176	892598
89	16341	891496
90	16501	890156
91	16670	889339
92	16849	889025
93	17025	888597
94	17181	887115
95	17334	885502
96	17511	885133
97	17675	884142
98	17861	884228
99	18058	884853
100	18251	885265
101	18460	886486
102	18587	883733
103	18776	883940
104	18987	885171
105	19155	884392
106	19301	882640
107	19444	880778
108	19590	879064
109	19796	880066
110	20012	881448
111	20165	880084
112	20349	880074
113	20501	878701
114	20659	877584
115	20818	876549
116	20990	876058
117	21109	873360
118	21260	872024
119	21434	871677
120	21611	871410
121	21810	872045
122	22024	873270
123	22190	872580
124	22359	872028
125	22513	870891
126	22713	871531
127	22933	872903
128	23090	871903
129	23292	872567
130	23537	874829
131	23729	875120
132	23943	876170
133	24091	874858
134	24254	874057
135	24402	872733
136	24543	871188
137	24732	871389
138	24930	871844
139	25086	870847
140	25255	870316
141	25420	869675
142	25582	868916
143	25732	867768
144	25910	867568
145	26093	867531
146	26283	867705
147	26445	866967
148	26625	866857
149	26782	865963
150	26963	865877
151	27112	864760
152	27260	863613
153	27414	862659
154	27582	862187
155	27688	859764
156	27856	859293
157	28024	858818
158	28213	858996
159	28394	858934
160	28561	858437
161	28759	858883
162	28948	859053
163	29135	859143
164	29241	856861
165	29391	855884
166	29576	855939
167	29747	855603
168	29959	856425
169	30133	856152
170	30273	854924
171	30442	854512
172	30594	853636
173	30756	853057
174	30956	853525
175	31128	853207
176	31296	852787
177	31494	853193
178	31626	851797
179	31799	851532
180	31976	851363
181	32147	851024
182	32327	850945
183	32495	850534
184	32680	850577
185	32827	849623
186	33002	849413
187	33159	848738
188	33330	848424
189	33485	847703
190	33630	846741
191	33854	847784
192	34064	848423
193	34154	846126
194	34321	845711
195	34538	846542
196	34772	847780
197	34967	848055
198	35170	848512
199	35367	848819
200	35573	849347
201	35730	848694
202	35922	848858
203	36085	848371
204	36231	847454
205	36415	847463
206	36598	847425
207	36772	847174
208	36976	847639
209	37164	847708
210	37356	847859
211	37559	848284
212	37760	848627
213	37961	848996
214	38124	848480
215	38256	847300
216	38440	847291
217	38603	846796
218	38786	846748
219	38983	846997
220	39173	847106
221	39352	846954
222	39497	846088
223	39712	846720
224	39905	846876
225	40090	846865
226	40296	847297
227	40490	847452
228	40673	847385
229	40841	847016
230	40988	846217
231	41166	846043
232	41316	845299
233	41505	845357
234	41685	845235
235	41858	844978
236	42056	845205
237	42224	844847
238	42407	844778
239	42598	844864
240	42701	843222
241	42892	843315
242	43078	843307
243	43271	843433
244	43530	844849
245	43695	844431
246	43868	844154
247	44061	844271
248	44254	844397
249	44414	843875
250	44601	843875
251	44776	843639
252	44934	843095
253	45124	843150
254	45304	843009
255	45527	843684
256	45715	843686
257	45927	844132
258	46148	844756
259	46349	844978
260	46562	845448
261	46775	845882
262	46964	845905
263	47124	845393
264	47278	844767
265	47443	844352
266	47619	844136
267	47810	844180
268	48005	844285
269	48185	844145
270	48348	843682
271	48515	843307
272	48742	843977
273	48960	844484
274	49129	844141
275	49312	844038
276	49493	843898
277	49686	843961
278	49897	844330
279	50136	845162
280	50365	845822
281	50612	846773
282	50785	846484
283	50976	846495
284	51118	845690
285	51294	845465
286	51463	845109
287	51635	844818
288	51852	845254
289	52046	845298
290	52236	845293
291	52472	846030
292	52693	846517
293	52941	847429
294	53135	847461
295	53312	847236
296	53506	847279
297	53745	848028
298	53926	847858
299	54148	848324
300	54368	848762
301	54590	849233
302	54868	850557
303	55124	851528
304	55375	852417
305	55639	853501
306	55874	854135
307	56083	854356
308	56222	853523
309	56410	853439
310	56587	853186
311	56771	853029
312	56986	853340
313	57187	853444
314	57374	853334
315	57567	853308
316	57758	853254
317	57970	853513
318	58163	853495
319	58359	853504
320	58545	853376
321	58793	854152
322	59114	855965
323	59353	856590
324	59594	857242
325	59884	858593
326	60179	860001
327	60431	860774
328	60682	861544
329	60880	861552
330	61124	862207
331	61321	862191
332	61511	862089
333	61690	861825
334	61864	861479
335	62051	861329
336	62349	862719
337	62623	863758
338	62847	864104
339	63059	864284
340	63231	863918
341	63392	863394
342	63557	862941
343	63731	862593
344	63948	862835
345	64123	862512
346	64308	862327
347	64529	862618
348	64689	862097
349	64920	862515
350	65111	862406
351	65345	862852
352	65514	862447
353	65678	861986
354	65874	861935
355	66074	861933
356	66270	861893
357	66507	862368
358	66745	862861
359	66962	863074
360	67189	863407
361	67395	863481
362	67609	863646
363	67832	863934
364	68036	863967
365	68224	863798
366	68415	863672
367	68695	864672
368	68889	864567
369	69109	864798
370	69319	864910
371	69621	866154
372	69904	867152
373	70210	868433
374	70408	868373
375	70701	869479
376	70975	870340
377	71250	871221
378	71487	871618
379	71685	871543
380	71916	871870
381	72107	871704
382	72293	871489
383	72473	871196
384	72667	871068
385	72955	872061
386	73155	872007
387	73329	871636
388	73591	872315
389	73857	873037
390	74055	872947
391	74317	873608
392	74507	873423
393	74760	873978
394	74963	873942
395	75204	874351
396	75413	874377
397	75655	874786
398	75899	875217
399	76075	874863
400	76244	874435
401	76417	874045
402	76652	874371
403	76884	874660
404	77065	874355
405	77241	874004
406	77390	873353
407	77563	872974
408	77725	872466
409	77893	872025
410	78056	871538
411	78236	871239
412	78406	870820
413	78570	870347
414	78786	870446
415	79076	871362
416	79304	871591
417	79563	872156
418	79747	871896
419	79928	871600
420	80093	871131
421	80275	870854
422	80420	870171
423	80584	869709
424	80746	869217
425	80920	868855
426	81058	868103
427	81228	867700
428	81395	867265
429	81563	866849
430	81734	866461
431	81897	865986
432	82059	865507
433	82220	865022
434	82408	864814
435	82561	864241
436	82728	863825
437	82926	863724
438	83118	863558
439	83288	863168
440	83454	862745
441	83621	862322
442	83790	861929
443	83945	861381
444	84121	861064
445	84284	860610
446	84456	860243
447	84636	859970
448	84806	859588
449	84976	859208
450	85152	858888
451	85332	858611
452	85551	858723
453	85708	858220
454	85914	858199
455	86080	857781
456	86269	857599
457	86434	857174
458	86616	856915
459	86802	856698
460	86971	856324
461	87175	856280
462	87354	855997
463	87595	856324
464	87819	856474
465	87997	856186
466	88208	856212
467	88392	855975
468	88568	855655
469	88835	856219
470	89054	856326
471	89275	856444
472	89475	856352
473	89715	856648
474	89928	856684
475	90099	856321
476	90305	856294
477	90473	855905
478	90698	856049
479	90907	856047
480	91087	855765
481	91293	855735
482	91481	855528
483	91649	855144
484	91830	854878
485	92029	854774
486	92254	854913
487	92452	854808
488	92664	854828
489	92877	854853
490	93033	854355
491	93190	853865
492	93374	853631
493	93525	853084
494	93675	852545
495	93876	852455
496	94129	852846
497	94331	852775
498	94509	852480
499	94706	852358
500	94875	851984
501	95055	851716
502	95273	851774
503	95461	851576
504	95631	851215
505	95838	851179
506	96041	851114
507	96209	850735
508	96381	850387
509	96559	850102
510	96700	849490
511	96807	848582
512	97064	848980
513	97283	849056
514	97438	848570
515	97609	848218
516	97846	848446
517	98043	848325
518	98202	847870
519	98408	847823
520	98599	847654
521	98786	847440
522	98950	847036
523	99173	847135
524	99397	847247
525	99579	846990
526	99744	846594
527	99957	846612
528	100102	846044
529	100282	845776
530	100487	845721
531	100666	845446
532	100859	845290
533	101025	844901
534	101206	844645
535	101357	844140
536	101529	843812
537	101750	843885
538	101976	844006
539	102163	843794
540	102378	843820
541	102545	843447
542	102744	843340
543	102928	843108
544	103099	842770
545	103289	842587
546	103515	842692
547	103717	842613
548	103946	842742
549	104132	842529
550	104324	842359
551	104556	842516
552	104731	842207
553	104919	842004
554	105141	842075
555	105347	842025
556	105684	843006
557	105955	843469
558	106178	843543
559	106384	843479
560	106590	843411
561	106804	843413
562	107006	843318
563	107204	843190
564	107410	843127
565	107609	843003
566	107844	843162
567	108020	842865
568	108233	842851
569	108429	842705
570	108617	842498
571	108882	842886
572	109100	842910
573	109326	842993
574	109528	842893
575	109708	842625
576	109907	842493
577	110075	842134
578	110262	841916
579	110446	841680
